                     t                 X_1(t)                 X_2(t)                 X_3(t)                 X_4(t)                 X_5(t)                 X_6(t)                 X_7(t)                 X_8(t)                 X_9(t)
1.0000000000000000e+00 4.2589041430865752e+23 1.4760236995273939e+23 2.6591602565752786e+22 2.0877210953610358e+21 1.2198449409783464e+20 5.7355892728519823e+18 1.6771053225821805e+17 4.1903166282756545e+15 9.1420844713858938e+13
2.0000000000000000e+00 3.0114999999999992e+23 2.0874127342557505e+23 7.8253197305655503e+22 1.2524716448337478e+22 1.4803300076204487e+21 1.4165376806771240e+20 8.3867424033507133e+18 4.2296421191484147e+17 1.8587856150427156e+16
3.0000000000000000e+00 2.1294520715432873e+23 2.2140355492910907e+23 1.2963247082349200e+23 3.1720247961455363e+22 5.6870379965179683e+21 8.3069234788628601e+20 7.4685096742389563e+19 5.7016946839670825e+18 3.7852332024438995e+17
4.0000000000000000e+00 1.5057499999999994e+23 2.0874127342557502e+23 1.6980740032404871e+23 5.6459460299850743e+22 1.3646790612715280e+22 2.7048535268392100e+21 3.2824459964967145e+20 3.3717026425647993e+19 3.0055430051825408e+18
5.0000000000000000e+00 1.0647260357716435e+23 1.8450296244092418e+23 1.9565118927380756e+23 8.2858901039625854e+22 2.5309591944914824e+22 6.3819899939594615e+21 9.7999766588047412e+20 1.2697085914642512e+20 1.4246513996290486e+19
6.0000000000000000e+00 7.5287499999999963e+22 1.5655595506918122e+23 2.0791963479224606e+23 1.0765719124590864e+23 3.9888522119929747e+22 1.2285007522900765e+22 2.2914693182366553e+21 3.5947272978201222e+20 4.8735709229908648e+19
7.0000000000000000e+00 5.3236301788582165e+22 1.2915207370864689e+23 2.0902017307713119e+23 1.2862647982031926e+23 5.6194557857243064e+22 2.0552825347044786e+22 4.5271872784813523e+21 8.3597451115958292e+20 1.3313477086997155e+20
8.0000000000000000e+00 3.7643749999999973e+22 1.0437063671278746e+23 2.0180109425711076e+23 1.4455694891908334e+23 7.2935767389439684e+22 3.1034216034254073e+22 7.9075864242884455e+21 1.6836062879229414e+21 3.0851491532626867e+20
9.0000000000000000e+00 2.6618150894291078e+22 8.3026333098415850e+22 1.8894514265598489e+23 1.5506502640799284e+23 8.8929628300657344e+22 4.3336966808781917e+22 1.2573349518524813e+22 3.0381857059113460e+21 6.3055458810782653e+20
1.0000000000000000e+01 1.8821874999999985e+22 6.5231647945492154e+22 1.7270973631364753e+23 1.6035660591578514e+23 1.0322562031390399e+23 5.6904278740471443e+22 1.8565810242806996e+22 5.0283216705665620e+21 1.1673047959060724e+21
2.0000000000000000e+01 5.8818359374999906e+20 4.0769779965932570e+21 3.5832085816178431e+22 7.8769967853240251e+22 1.1126676192157869e+23 1.4733179086004580e+23 1.0815819679469902e+23 6.3717543070610580e+22 3.1525843629238414e+22
3.0000000000000000e+01 1.8380737304687456e+19 1.9110834359030881e+20 4.5549006772346573e+21 1.7326549198848693e+22 3.9641761655075881e+22 9.5308014742329555e+22 1.1753347287851968e+23 1.1229468080119467e+23 8.8339937374810891e+22
4.0000000000000000e+01 5.7439804077148256e+17 7.9628476495961948e+18 4.9613870588545217e+20 2.8215174610416640e+21 9.1589220390327770e+21 3.5875864892842053e+22 6.5739952321166423e+22 9.0033395681610581e+22 9.9608808692910683e+22
5.0000000000000000e+01 1.7949938774108814e+16 3.1104873631235098e+17 5.1011429488290824e+19 3.9604155187870407e+20 1.6888081953767707e+21 1.0217112372879582e+22 2.5946003334236956e+22 4.7493008155071511e+22 6.8964631824395126e+22
6.0000000000000000e+01 5.6093558669090000e+14 1.1664327611713156e+16 5.1295409638256527e+18 5.1077479025369768e+19 2.7192020582213118e+20 2.4706210071723786e+21 8.3011856945493584e+21 1.9395566963887532e+22 3.5340636813232779e+22
7.0000000000000000e+01 1.7529237084090611e+13 4.2526194417704175e+14 5.1145398150361267e+17 6.2467852350759322e+18 4.0047596638947533e+19 5.3888628929910047e+20 2.3154701217773472e+21 6.6807644764060244e+21 1.4794232254903068e+22
8.0000000000000000e+01 5.4778865887783118e+11 1.5187926577751475e+13 5.0834393960417624e+16 7.3712373761406400e+17 5.5407177758136668e+18 1.0983356203032506e+20 5.8753820164492296e+20 2.0410705221198136e+21 5.3623677570606181e+21
9.0000000000000000e+01 1.7118395589932211e+10 5.3395054374907458e+11 5.0466643630242750e+15 8.4789087350023568e+16 7.3214492576746304e+17 2.1386023634800038e+19 1.3929795110231918e+20 5.7100406565620901e+20 1.7464290039923065e+21
1.0000000000000000e+02 5.3494986218538117e+08 1.8539949435731747e+10 5.0080629457744625e+14 9.5691422828241760e+15 9.3410722083219616e+16 4.0363810483959532e+18 3.1409504895439962e+19 1.4942615353478657e+20 5.2395545239747913e+20
