                     t             APE_X_1(t)             APE_X_2(t)             APE_X_3(t)             APE_X_4(t)             APE_X_5(t)             APE_X_6(t)             APE_X_7(t)             APE_X_8(t)             APE_X_9(t)
1.0000000000000000e+00 1.8784174828133420e-14 2.5128322812070351e-11 3.3897919381534519e-11 4.3530718831120640e-11 5.9925649190566925e-11 7.0658825226199626e-11 7.8283694072209248e-11 9.0756864871128141e-11 1.0560173700217710e-10
2.0000000000000000e+00 2.6564834799933590e-14 2.5141170760701580e-11 4.0122322257774742e-11 5.0476192623394570e-11 6.0331142069805888e-11 6.7488497696889646e-11 7.2646800235111410e-11 8.0453615321061576e-11 8.6981520994901775e-11
3.0000000000000000e+00 3.2872305949233492e-14 2.5139614410350240e-11 4.2196218009650239e-11 5.4151531289614163e-11 6.4967035603767243e-11 7.2925915537924898e-11 7.7133193250935615e-11 8.4457345875374724e-11 9.0271848978571838e-11
4.0000000000000000e+00 3.9847252199900381e-14 2.5155542618987042e-11 4.3231331414224413e-11 5.6229726305169927e-11 6.8074613758181340e-11 7.7157597603341555e-11 8.1966314232414146e-11 8.9293164883221169e-11 9.5330527463979896e-11
5.0000000000000000e+00 4.6960437070333551e-14 2.5170327557671540e-11 4.3833109483400088e-11 5.7611191315636171e-11 7.0246094993086803e-11 8.0217925832561441e-11 8.5855306527015437e-11 9.3438762876347335e-11 9.9954276559820769e-11
6.0000000000000000e+00 5.5786153079860529e-14 2.5185883208700790e-11 4.4233436679443969e-11 5.8519081977589075e-11 7.1782554174082484e-11 8.2474511970011815e-11 8.8899291986409400e-11 9.6841838381110646e-11 1.0380889249252919e-10
7.0000000000000000e+00 6.5744611898466983e-14 2.5195104550468560e-11 4.4531586894060612e-11 5.9202428696120946e-11 7.2918093072403477e-11 8.4178207656851826e-11 9.1314976511927692e-11 9.9593945614956180e-11 1.0704190878807490e-10
8.0000000000000000e+00 7.9694504399800761e-14 2.5208239432700399e-11 4.4747031889187951e-11 5.9706572838820096e-11 7.3812893079610122e-11 8.5524957262273101e-11 9.3245898360910041e-11 1.0187654989779639e-10 1.0972889256962420e-10
9.0000000000000000e+00 8.2650369243787046e-14 2.5220913917965451e-11 4.4928384401245118e-11 6.0097368283903712e-11 7.4515098360599816e-11 8.6584278418774235e-11 9.4827555556473376e-11 1.0376258415879460e-10 1.1203946705378670e-10
1.0000000000000000e+01 8.5007471359787484e-14 2.5211688678688911e-11 4.5075629007148919e-11 6.0402874859305565e-11 7.5087947899211197e-11 8.7457395298749658e-11 9.6112153289384175e-11 1.0534330035010640e-10 1.1397194671558040e-10
2.0000000000000000e+01 1.7681554042835790e-13 2.5295696980986859e-11 4.5654612695212772e-11 6.1849714209278790e-11 7.7714133589038245e-11 9.1609556370687004e-11 1.0245178200429970e-10 1.1342245246309920e-10 1.2402205777513099e-10
3.0000000000000000e+01 2.6658343018429352e-13 2.5373041851034411e-11 4.5755114055842203e-11 6.2285916694308529e-11 7.8576225423592109e-11 9.3008967020847267e-11 1.0470208782740860e-10 1.1639019681728100e-10 1.2781195386272749e-10
4.0000000000000000e+01 3.5515441474348318e-13 2.5445670809766601e-11 4.5771474248236997e-11 6.2434488686401494e-11 7.8950339015637234e-11 9.3608893054642531e-11 1.0576977552437130e-10 1.1786626417507189e-10 1.2979474576231300e-10
5.0000000000000000e+01 4.5682607072887243e-13 2.5565125562872159e-11 4.5736808856424479e-11 6.2501017589097937e-11 7.9126806919646435e-11 9.3969799387505805e-11 1.0639018134845410e-10 1.1871010531876090e-10 1.3095698129709240e-10
6.0000000000000000e+01 5.4551718104598999e-13 2.5650857036926050e-11 4.5662955350531491e-11 6.2555945613740479e-11 7.9232802633563658e-11 9.4081609168299141e-11 1.0672692222519300e-10 1.1929530105024971e-10 1.3169259016439710e-10
7.0000000000000000e+01 6.3893254146040126e-13 2.5748835864416220e-11 4.5611141654245940e-11 6.2556976956004714e-11 7.9323112161693134e-11 9.4218392651981899e-11 1.0690701541409850e-10 1.1960607245189189e-10 1.3215961236173161e-10
8.0000000000000000e+01 7.2290653262376829e-13 2.5869232247636129e-11 4.5543967767210601e-11 6.2526815578014302e-11 7.9361558879449902e-11 9.4242595875496899e-11 1.0704665641119021e-10 1.1980967700505171e-10 1.3249557512417120e-10
9.0000000000000000e+01 8.1199198411881836e-13 2.6006153870538979e-11 4.5495397253306727e-11 6.2475020849427966e-11 7.9377726942564534e-11 9.4229765870028394e-11 1.0710135994050260e-10 1.1996236825599029e-10 1.3271080557518810e-10
1.0000000000000000e+02 9.0288835298852203e-13 2.6068032260563649e-11 4.5416761423058178e-11 6.2388036707448010e-11 7.9342069461697366e-11 9.4237881765598787e-11 1.0715864548648270e-10 1.2005930404814980e-10 1.3286053171386449e-10
