Nuclide X9
    t                            Reference_solution           Series_solution             APE
-----------------------------------------------------------------------------------------------
    1             91420844713955.476119561821617909    9.1420844713858938e+13      1.0560e-10
    2             18587856150443322.877949268645333    1.8587856150427156e+16      8.6975e-11
    3             378523320244731617.66743147911189    3.7852332024438995e+17      9.0263e-11
    4             3005543005185405678.4358583669471    3.0055430051825408e+18      9.5320e-11
    5              14246513996304724103.02018801217    1.4246513996290486e+19      9.9941e-11
    6             48735709229959233051.785391347328    4.8735709229908648e+19      1.0379e-10
    7             133134770870114051750.01732954357    1.3313477086997155e+20      1.0704e-10
    8             308514915326607229129.75710104478    3.0851491532626867e+20      1.0974e-10
    9             630554588108532971227.40149887643    6.3055458810782653e+20      1.1203e-10
   10             1167304795907402714536.9450066494    1.1673047959060724e+21      1.1396e-10
   20             31525843629277512359694.289270639    3.1525843629238414e+22      1.2402e-10
   30              88339937374923805441817.20222508    8.8339937374810891e+22      1.2782e-10
   40             99608808693039964787422.072743913    9.9608808692910683e+22      1.2979e-10
   50             68964631824485435933186.639164209    6.8964631824395126e+22      1.3095e-10
   60             35340636813279318735056.352418608    3.5340636813232779e+22      1.3169e-10
   70             14794232254922620124286.900304857    1.4794232254903068e+22      1.3216e-10
   80             5362367757067723653258.5305408012    5.3623677570606181e+21      1.3251e-10
   90             1746429003994624235890.4204526641    1.7464290039923065e+21      1.3271e-10
  100             523955452398175347996.22596379678    5.2395545239747913e+20      1.3288e-10


Nuclide X8
    t                            Reference_solution           Series_solution             APE
-----------------------------------------------------------------------------------------------
    1             4190316628279457.0692605262408978    4.1903166282756545e+15      9.0747e-11
    2             422964211915181703.13291754203673    4.2296421191484147e+17      8.0440e-11
    3              5701694683971897782.851786774842    5.7016946839670825e+18      8.4454e-11
    4             33717026425678096192.025286945801    3.3717026425647993e+19      8.9282e-11
    5             126970859146543749599.53714291008    1.2697085914642512e+20      9.3431e-11
    6             359472729782360282907.12186022762    3.5947272978201222e+20      9.6826e-11
    7               835974511160415451493.131920263    8.3597451115958292e+20      9.9588e-11
    8             1683606287924656322060.0780658203    1.6836062879229414e+21      1.0186e-10
    9             3038185705914498266812.7812876597    3.0381857059113460e+21      1.0375e-10
   10             5028321670571859126041.0713933282    5.0283216705665620e+21      1.0535e-10
   20             63717543070682842768880.321512283    6.3717543070610580e+22      1.1341e-10
   30             112294680801325368099419.35822481    1.1229468080119467e+23      1.1639e-10
   40             90033395681716694378534.207666308    9.0033395681610581e+22      1.1786e-10
   50             47493008155127896703194.919454565    4.7493008155071511e+22      1.1872e-10
   60             19395566963910667823534.629847671    1.9395566963887532e+22      1.1928e-10
   70             6680764476414015212717.0872006196    6.6807644764060244e+21      1.1961e-10
   80             2041070522122259175883.7041864288    2.0410705221198136e+21      1.1982e-10
   90             571004065656894065075.13629140832    5.7100406565620901e+20      1.1997e-10
  100             149426153534965980369.03136728673    1.4942615353478657e+20      1.2007e-10


Nuclide X7
    t                            Reference_solution           Series_solution             APE
-----------------------------------------------------------------------------------------------
    1             167710532258349325.95148720756276    1.6771053225821805e+17      7.8275e-11
    2             8386742403356805063.2040781094983    8.3867424033507133e+18      7.2636e-11
    3              74685096742447156791.23539528044    7.4685096742389563e+19      7.7116e-11
