X9
t	Xn_GPS
1	9.7417188074620781e+13
2	1.8588970706239000e+16
3	3.7853662453395597e+17
4	3.0055505109102275e+18
5	1.4246510986732712e+19
6	4.8735707011973161e+19
7	1.3313477056094216e+20
8	3.0851491653946592e+20
9	6.3055458897532774e+20
10	1.1673047948568620e+21
20	3.1525843629127420e+22
30	8.8339937374851626e+22
40	9.9608808693008578e+22
50	6.8964631824479726e+22
60	3.5340636813277952e+22
70	1.4794232254922341e+22
80	5.3623677570676509e+21
90	1.7464290039946155e+21
100	5.2395545239817093e+20

X8
t	Xn_GPS
1	4.1891484148842875e+15
2	4.2296184952629254e+17
3	5.7016937127925699e+18
4	3.3717025403677544e+19
5	1.2697085812888984e+20
6	3.5947272960329377e+20
7	8.3597451149430712e+20
8	1.6836062871020333e+21
9	3.0381857052692484e+21
10	5.0283216701924342e+21
20	6.3717543070590120e+22
30	1.1229468080128925e+23
40	9.0033395681713107e+22
50	4.7493008155126708e+22
60	1.9395566963910458e+22
70	6.6807644764139715e+21
80	2.0410705221222521e+21
90	5.7100406565689334e+20
100	1.4942615353496555e+20

X7
t	Xn_GPS
1	1.6771022604798813e+17
2	8.3867421257210501e+18
3	7.4685096508548973e+19
4	3.2824459948393621e+20
5	9.7999766562551143e+20
6	2.2914693180057754e+21
7	4.5271872783871052e+21
8	7.9075864242889981e+21
9	1.2573349518495845e+22
10	1.8565810242746837e+22
20	1.0815819679479982e+23
30	1.1753347287864404e+23
40	6.5739952321235570e+22
50	2.5946003334264571e+22
60	8.3011856945582220e+21
70	2.3154701217798244e+21
80	5.8753820164555139e+20
90	1.3929795110246836e+20
100	3.1409504895473582e+19

X6
t	Xn_GPS
1	5.7355892234324244e+18
2	1.4165376802216665e+20
3	8.3069234784407493e+20
4	2.7048535267955667e+21
5	6.3819899939566335e+21
6	1.2285007522898840e+22
7	2.0552825347046208e+22
8	3.1034216034257177e+22
9	4.3336966808810488e+22
10	5.6904278740513319e+22
20	1.4733179086017970e+23
30	9.5308014742417502e+22
40	3.5875864892875616e+22
50	1.0217112372889159e+22
60	2.4706210071747012e+21
70	5.3888628929960824e+20
80	1.0983356203042854e+20
90	2.1386023634820198e+19
100	4.0363810483997512e+18

X5
t	Xn_GPS
1	1.2198449410906374e+20
2	1.4803300076274115e+21
3	5.6870379965258075e+21
4	1.3646790612730602e+22
5	2.5309591944936542e+22
6	3.9888522119959317e+22
7	5.6194557857285552e+22
8	7.2935767389496366e+22
9	8.8929628300725224e+22
10	1.0322562031398199e+23
20	1.1126676192166518e+23
30	3.9641761655107078e+22
40	9.1589220390400048e+21
50	1.6888081953781079e+21
60	2.7192020582234699e+20
70	4.0047596638979375e+19
80	5.5407177758180608e+18
90	7.3214492576804429e+17
100	9.3410722083293840e+16

X4
t	Xn_GPS
1	2.0877210953604884e+21
2	1.2524716448343766e+22
3	3.1720247961474514e+22
4	5.6459460299882527e+22
5	8.2858901039674106e+22
6	1.0765719124597282e+23
7	1.2862647982039618e+23
8	1.4455694891916947e+23
9	1.5506502640808626e+23
10	1.6035660591588228e+23
20	7.8769967853288972e+22
30	1.7326549198859498e+22
40	2.8215174610434251e+21
50	3.9604155187895186e+20
60	5.1077479025401782e+19
70	6.2467852350798520e+18
80	7.3712373761452467e+17
90	8.4789087350076560e+16
100	9.5691422828301560e+15

X3
t	Xn_GPS
1	2.6591602565762945e+22
2	7.8253197305687497e+22
3	1.2963247082354710e+23
4	1.6980740032412249e+23
5	1.9565118927389379e+23
6	2.0791963479233800e+23
7	2.0902017307722427e+23
8	2.0180109425720132e+23
9	1.8894514265606995e+23
10	1.7270973631372535e+23
20	3.5832085816194785e+22
30	4.5549006772367450e+21
40	4.9613870588567912e+20
50	5.1011429488314171e+19
60	5.1295409638280008e+18
70	5.1145398150384698e+17
80	5.0834393960440744e+16
90	5.0466643630265720e+15
100	5.0080629457767419e+14

X2
t	Xn_GPS
1	1.4760236995277645e+23
2	2.0874127342562750e+23
3	2.2140355492916473e+23
4	2.0874127342562750e+23
5	1.8450296244097058e+23
6	1.5655595506922068e+23
7	1.2915207370867944e+23
8	1.0437063671281375e+23
9	8.3026333098436771e+22
10	6.5231647945508595e+22
20	4.0769779965942872e+21
30	1.9110834359035730e+20
40	7.9628476495982172e+18
50	3.1104873631243021e+17
60	1.1664327611716150e+16
70	4.2526194417715181e+14
80	1.5187926577755389e+13
90	5.3395054374921356e+11
100	1.8539949435736542e+10

X1
t	Xn_GPS
1	4.2589041430865745e+23
2	3.0114999999999995e+23
3	2.1294520715432876e+23
4	1.5057499999999998e+23
5	1.0647260357716436e+23
6	7.5287500000000005e+22
7	5.3236301788582198e+22
8	3.7643749999999994e+22
9	2.6618150894291095e+22
10	1.8821874999999997e+22
20	5.8818359374999991e+20
30	1.8380737304687505e+19
40	5.7439804077148429e+17
50	1.7949938774108876e+16
60	5.6093558669090312e+14
70	1.7529237084090746e+13
80	5.4778865887783459e+11
90	1.7118395589932354e+10
100	5.3494986218538487e+08



