x_9(t)

    t           Reference_solution              Series_solution                      APE
----------------------------------------------------------------------------------------
    1         9.142084471395548e13        9.1420844713858938e13    1.056017370021771e-10
    2        1.8587856150443324e16        1.8587856150427156e16    8.698152099490177e-11
    3        3.7852332024473165e17        3.7852332024438995e17    9.027184897857184e-11
    4         3.005543005185406e18        3.0055430051825408e18    9.533052746397989e-11
    5        1.4246513996304726e19        1.4246513996290486e19    9.995427655982077e-11
    6         4.873570922995924e19        4.8735709229908648e19    1.038088924925292e-10
    7        1.3313477087011406e20        1.3313477086997155e20    1.070419087880749e-10
    8         3.085149153266072e20        3.0851491532626867e20    1.097288925696242e-10
    9          6.30554588108533e20        6.3055458810782653e20    1.120394670537867e-10
   10        1.1673047959074028e21        1.1673047959060724e21    1.139719467155804e-10
   20        3.1525843629277513e22        3.1525843629238414e22    1.240220577751310e-10
   30          8.83399373749238e22        8.8339937374810891e22    1.278119538627275e-10
   40         9.960880869303997e22        9.9608808692910683e22    1.297947457623130e-10
   50         6.896463182448544e22        6.8964631824395126e22    1.309569812970924e-10
   60         3.534063681327932e22        3.5340636813232779e22    1.316925901643971e-10
   70         1.479423225492262e22        1.4794232254903068e22    1.321596123617316e-10
   80         5.362367757067723e21        5.3623677570606181e21    1.324955751241712e-10
   90        1.7464290039946242e21        1.7464290039923065e21    1.327108055751881e-10
  100        5.2395545239817526e20        5.2395545239747913e20    1.328605317138645e-10

x_8(t)

    t           Reference_solution              Series_solution                      APE
----------------------------------------------------------------------------------------
    1         4.1903166282794575e+15        4.1903166282756545e+15    9.075686487112814e-11
    2         4.2296421191518176e+17        4.2296421191484147e+17    8.045361532106157e-11
    3         5.7016946839718980e+18        5.7016946839670825e+18    8.445734587537473e-11
    4         3.3717026425678100e+19        3.3717026425647993e+19    8.929316488322117e-11
    5         1.2697085914654376e+20        1.2697085914642512e+20    9.343876287634734e-11
    6         3.5947272978236034e+20        3.5947272978201222e+20    9.684183838111065e-11
    7         8.3597451116041550e+20        8.3597451115958292e+20    9.959394561495618e-11
    8         1.6836062879246566e+21        1.6836062879229414e+21    1.018765498977964e-10
    9         3.0381857059144985e+21        3.0381857059113460e+21    1.037625841587946e-10
   10         5.0283216705718590e+21        5.0283216705665620e+21    1.053433003501064e-10
   20         6.3717543070682850e+22        6.3717543070610580e+22    1.134224524630992e-10
   30         1.1229468080132537e+23        1.1229468080119467e+23    1.163901968172810e-10
   40         9.0033395681716700e+22        9.0033395681610581e+22    1.178662641750719e-10
   50         4.7493008155127890e+22        4.7493008155071511e+22    1.187101053187609e-10
   60         1.9395566963910670e+22        1.9395566963887532e+22    1.192953010502497e-10
   70         6.6807644764140150e+21        6.6807644764060244e+21    1.196060724518919e-10
   80         2.0410705221222590e+21        2.0410705221198136e+21    1.198096770050517e-10
   90         5.7100406565689400e+20        5.7100406565620901e+20    1.199623682559903e-10
  100         1.4942615353496597e+20        1.4942615353478657e+20    1.200593040481498e-10

x_7(t)

    t           Reference_solution              Series_solution                      APE
----------------------------------------------------------------------------------------
    1         1.6771053225834934e+17        1.6771053225821805e+17    7.828369407220925e-11
    2         8.3867424033568060e+18        8.3867424033507133e+18    7.264680023511141e-11
    3         7.4685096742447170e+19        7.4685096742389563e+19    7.713319325093562e-11
    4         3.2824459964994050e+20        3.2824459964967145e+20    8.196631423241414e-11
    5         9.7999766588131550e+20        9.7999766588047412e+20    8.585530652701544e-11
    6         2.2914693182386924e+21        2.2914693182366553e+21    8.889929198640940e-11
    7         4.5271872784854863e+21        4.5271872784813523e+21    9.131497651192769e-11
    8         7.9075864242958190e+21        7.9075864242884455e+21    9.324589836091004e-11
    9         1.2573349518536736e+22        1.2573349518524813e+22    9.482755555647337e-11
   10         1.8565810242824840e+22        1.8565810242806996e+22    9.611215328938418e-11
   20         1.0815819679480983e+23        1.0815819679469902e+23    1.024517820042997e-10
   30         1.1753347287864274e+23        1.1753347287851968e+23    1.047020878274086e-10
   40         6.5739952321235956e+22        6.5739952321166423e+22    1.057697755243713e-10
   50         2.5946003334264560e+22        2.5946003334236956e+22    1.063901813484541e-10
   60         8.3011856945582180e+21        8.3011856945493584e+21    1.067269222251930e-10
   70         2.3154701217798226e+21        2.3154701217773472e+21    1.069070154140985e-10
   80         5.8753820164555190e+20        5.8753820164492296e+20    1.070466564111902e-10
   90         1.3929795110246837e+20        1.3929795110231918e+20    1.071013599405026e-10
  100         3.1409504895473620e+19        3.1409504895439962e+19    1.071586454864827e-10

x_6(t)

    t           Reference_solution              Series_solution                      APE
----------------------------------------------------------------------------------------
    1         5.7355892728560350e+18        5.7355892728519823e+18    7.065882522619963e-11
    2         1.4165376806780800e+20        1.4165376806771240e+20    6.748849769688964e-11
    3         8.3069234788689180e+20        8.3069234788628601e+20    7.292591553792490e-11
    4         2.7048535268412970e+21        2.7048535268392100e+21    7.715759760334155e-11
    5         6.3819899939645810e+21        6.3819899939594615e+21    8.021792583256144e-11
    6         1.2285007522910897e+22        1.2285007522900765e+22    8.247451197001182e-11
    7         2.0552825347062087e+22        2.0552825347044786e+22    8.417820765685182e-11
    8         3.1034216034280615e+22        3.1034216034254073e+22    8.552495726227310e-11
    9         4.3336966808819440e+22        4.3336966808781917e+22    8.658427841877423e-11
   10         5.6904278740521210e+22        5.6904278740471443e+22    8.745739529874966e-11
   20         1.4733179086018077e+23        1.4733179086004580e+23    9.160955637068701e-11
   30         9.5308014742418200e+22        9.5308014742329555e+22    9.300896702084727e-11
   40         3.5875864892875636e+22        3.5875864892842053e+22    9.360889305464253e-11
   50         1.0217112372889183e+22        1.0217112372879582e+22    9.396979938750581e-11
   60         2.4706210071747030e+21        2.4706210071723786e+21    9.408160916829914e-11
   70         5.3888628929960820e+20        5.3888628929910047e+20    9.421839265198190e-11
   80         1.0983356203042857e+20        1.0983356203032506e+20    9.424259587549690e-11
   90         2.1386023634820190e+19        2.1386023634800038e+19    9.422976587002839e-11
  100         4.0363810483997570e+18        4.0363810483959532e+18    9.423788176559879e-11

x_5(t)

    t           Reference_solution              Series_solution                      APE
----------------------------------------------------------------------------------------
    1         1.2198449409790774e+20        1.2198449409783464e+20    5.992564919056692e-11
    2         1.4803300076213418e+21        1.4803300076204487e+21    6.033114206980589e-11
    3         5.6870379965216630e+21        5.6870379965179683e+21    6.496703560376724e-11
    4         1.3646790612724570e+22        1.3646790612715280e+22    6.807461375818134e-11
    5         2.5309591944932603e+22        2.5309591944914824e+22    7.024609499308680e-11
    6         3.9888522119958380e+22        3.9888522119929747e+22    7.178255417408249e-11
    7         5.6194557857284040e+22        5.6194557857243064e+22    7.291809307240348e-11
    8         7.2935767389493520e+22        7.2935767389439684e+22    7.381289307961012e-11
    9         8.8929628300723610e+22        8.8929628300657344e+22    7.451509836059981e-11
   10         1.0322562031398150e+23        1.0322562031390399e+23    7.508794789921120e-11
   20         1.1126676192166516e+23        1.1126676192157869e+23    7.771413358903824e-11
   30         3.9641761655107030e+22        3.9641761655075881e+22    7.857622542359211e-11
   40         9.1589220390400080e+21        9.1589220390327770e+21    7.895033901563723e-11
   50         1.6888081953781070e+21        1.6888081953767707e+21    7.912680691964643e-11
   60         2.7192020582234663e+20        2.7192020582213118e+20    7.923280263356366e-11
   70         4.0047596638979300e+19        4.0047596638947533e+19    7.932311216169313e-11
   80         5.5407177758180640e+18        5.5407177758136668e+18    7.936155887944990e-11
   90         7.3214492576804420e+17        7.3214492576746304e+17    7.937772694256454e-11
  100         9.3410722083293730e+16        9.3410722083219616e+16    7.934206946169737e-11

x_4(t)

    t           Reference_solution              Series_solution                      APE
----------------------------------------------------------------------------------------
    1         2.0877210953619446e+21        2.0877210953610358e+21    4.353071883112064e-11
    2         1.2524716448343800e+22        1.2524716448337478e+22    5.047619262339457e-11
    3         3.1720247961472540e+22        3.1720247961455363e+22    5.415153128961416e-11
    4         5.6459460299882490e+22        5.6459460299850743e+22    5.622972630516993e-11
    5         8.2858901039673590e+22        8.2858901039625854e+22    5.761119131563617e-11
    6         1.0765719124597164e+23        1.0765719124590864e+23    5.851908197758908e-11
    7         1.2862647982039541e+23        1.2862647982031926e+23    5.920242869612095e-11
    8         1.4455694891916965e+23        1.4455694891908334e+23    5.970657283882010e-11
    9         1.5506502640808603e+23        1.5506502640799284e+23    6.009736828390371e-11
   10         1.6035660591588200e+23        1.6035660591578514e+23    6.040287485930557e-11
   20         7.8769967853288970e+22        7.8769967853240251e+22    6.184971420927879e-11
   30         1.7326549198859485e+22        1.7326549198848693e+22    6.228591669430853e-11
   40         2.8215174610434256e+21        2.8215174610416640e+21    6.243448868640149e-11
   50         3.9604155187895160e+20        3.9604155187870407e+20    6.250101758909794e-11
   60         5.1077479025401720e+19        5.1077479025369768e+19    6.255594561374048e-11
   70         6.2467852350798400e+18        6.2467852350759322e+18    6.255697695600471e-11
   80         7.3712373761452490e+17        7.3712373761406400e+17    6.252681557801430e-11
   90         8.4789087350076540e+16        8.4789087350023568e+16    6.247502084942796e-11
  100         9.5691422828301460e+15        9.5691422828241760e+15    6.238803670744801e-11

x_3(t)

    t           Reference_solution              Series_solution                      APE
----------------------------------------------------------------------------------------
    1         2.6591602565761800e+22        2.6591602565752786e+22    3.389791938153452e-11
    2         7.8253197305686900e+22        7.8253197305655503e+22    4.012232225777474e-11
    3         1.2963247082354670e+23        1.2963247082349200e+23    4.219621800965024e-11
    4         1.6980740032412212e+23        1.6980740032404871e+23    4.323133141422441e-11
    5         1.9565118927389332e+23        1.9565118927380756e+23    4.383310948340009e-11
    6         2.0791963479233803e+23        2.0791963479224606e+23    4.423343667944397e-11
    7         2.0902017307722427e+23        2.0902017307713119e+23    4.453158689406061e-11
    8         2.0180109425720106e+23        2.0180109425711076e+23    4.474703188918795e-11
    9         1.8894514265606978e+23        1.8894514265598489e+23    4.492838440124512e-11
   10         1.7270973631372538e+23        1.7270973631364753e+23    4.507562900714892e-11
   20         3.5832085816194790e+22        3.5832085816178431e+22    4.565461269521277e-11
   30         4.5549006772367414e+21        4.5549006772346573e+21    4.575511405584220e-11
   40         4.9613870588567926e+20        4.9613870588545217e+20    4.577147424823700e-11
   50         5.1011429488314155e+19        5.1011429488290824e+19    4.573680885642448e-11
   60         5.1295409638279950e+18        5.1295409638256527e+18    4.566295535053149e-11
   70         5.1145398150384595e+17        5.1145398150361267e+17    4.561114165424594e-11
   80         5.0834393960440776e+16        5.0834393960417624e+16    4.554396776721060e-11
   90         5.0466643630265710e+15        5.0466643630242750e+15    4.549539725330673e-11
  100         5.0080629457767370e+14        5.0080629457744625e+14    4.541676142305818e-11

x_2(t)

    t           Reference_solution              Series_solution                      APE
----------------------------------------------------------------------------------------
    1         1.4760236995277648e+23        1.4760236995273939e+23    2.512832281207035e-11
    2         2.0874127342562753e+23        2.0874127342557505e+23    2.514117076070158e-11
    3         2.2140355492916473e+23        2.2140355492910907e+23    2.513961441035024e-11
    4         2.0874127342562753e+23        2.0874127342557502e+23    2.515554261898704e-11
    5         1.8450296244097062e+23        1.8450296244092418e+23    2.517032755767154e-11
    6         1.5655595506922065e+23        1.5655595506918122e+23    2.518588320870079e-11
    7         1.2915207370867943e+23        1.2915207370864689e+23    2.519510455046856e-11
    8         1.0437063671281377e+23        1.0437063671278746e+23    2.520823943270040e-11
    9         8.3026333098436790e+22        8.3026333098415850e+22    2.522091391796545e-11
   10         6.5231647945508600e+22        6.5231647945492154e+22    2.521168867868891e-11
   20         4.0769779965942883e+21        4.0769779965932570e+21    2.529569698098686e-11
   30         1.9110834359035730e+20        1.9110834359030881e+20    2.537304185103441e-11
   40         7.9628476495982210e+18        7.9628476495961948e+18    2.544567080976660e-11
   50         3.1104873631243050e+17        3.1104873631235098e+17    2.556512556287216e-11
   60         1.1664327611716148e+16        1.1664327611713156e+16    2.565085703692605e-11
   70         4.2526194417715125e+14        4.2526194417704175e+14    2.574883586441622e-11
   80         1.5187926577755404e+13        1.5187926577751475e+13    2.586923224763613e-11
   90         5.3395054374921344e+11        5.3395054374907458e+11    2.600615387053898e-11
  100         1.8539949435736580e+10        1.8539949435731747e+10    2.606803226056365e-11

x_1(t)

    t           Reference_solution              Series_solution                      APE
----------------------------------------------------------------------------------------
    1         4.2589041430865760e+23        4.2589041430865752e+23    1.878417482813342e-14
    2         3.0115000000000000e+23        3.0114999999999992e+23    2.656483479993359e-14
    3         2.1294520715432880e+23        2.1294520715432873e+23    3.287230594923349e-14
    4         1.5057500000000000e+23        1.5057499999999994e+23    3.984725219990038e-14
    5         1.0647260357716440e+23        1.0647260357716435e+23    4.696043707033355e-14
    6         7.5287500000000005e+22        7.5287499999999963e+22    5.578615307986053e-14
    7         5.3236301788582200e+22        5.3236301788582165e+22    6.574461189846698e-14
    8         3.7643750000000003e+22        3.7643749999999973e+22    7.969450439980076e-14
    9         2.6618150894291100e+22        2.6618150894291078e+22    8.265036924378705e-14
   10         1.8821875000000001e+22        1.8821874999999985e+22    8.500747135978748e-14
